code,name,region,cumulative_net_migration,urbanization_change,median_age_change,unemployment_change,unemployment_1991,unemployment_2010,urbanization_1960,urbanization_2010,median_age_1960,median_age_2010,population_1960,population_2010
AUT,Austria,Western,876365.0,-7.300000000000004,6.299999999999997,1.5000000000000004,3.4,4.9,64.7,57.4,34.5,40.8,7047539,8363404
BEL,Belgium,Western,1055664.0,5.200000000000003,5.899999999999999,1.3000000000000007,7.0,8.3,92.5,97.7,33.9,39.8,9153489,10895586
CYP,Cyprus,Western,173811.0,31.999999999999993,10.899999999999999,3.4000000000000004,3.0,6.4,35.6,67.6,22.0,32.9,586490,1127816
DNK,Denmark,Western,364682.0,13.099999999999994,7.5,-1.3999999999999995,9.1,7.7,73.7,86.8,32.1,39.6,4579603,5547683
FIN,Finland,Western,20951.0,28.5,13.600000000000001,1.9000000000000004,6.5,8.4,55.3,83.8,27.4,41.0,4429634,5363352
FRA,France,Western,4547896.0,16.500000000000007,7.199999999999999,0.20000000000000107,9.1,9.3,61.9,78.4,31.8,39.0,47412964,65026211
DEU,Germany,Western,8606096.0,5.599999999999994,9.599999999999994,1.7000000000000002,5.3,7.0,71.4,77.0,33.7,43.3,72814900,81776930
GRC,Greece,Western,596645.0,20.4,12.799999999999997,5.1,7.6,12.7,55.9,76.3,27.5,40.3,8331725,11121341
ISL,Iceland,Western,3421.0,13.299999999999997,9.5,5.1,2.5,7.6,80.3,93.6,24.4,33.9,175574,318041
IRL,Ireland,Western,182732.0,16.299999999999997,4.199999999999996,-1.3000000000000007,15.8,14.5,45.2,61.5,29.1,33.3,2828600,4560155
ITA,Italy,Western,3559575.0,8.899999999999999,12.0,-1.6999999999999993,10.1,8.4,59.4,68.3,30.5,42.5,50199700,59819407
LIE,Liechtenstein,Western,9492.0,-5.899999999999999,13.200000000000003,,,,20.4,14.5,26.9,40.1,16451,36022
LUX,Luxembourg,Western,157766.0,18.900000000000006,3.8999999999999986,2.9000000000000004,1.5,4.4,69.6,88.5,34.1,38.0,313970,506953
MLT,Malta,Western,-32637.0,4.0,15.900000000000002,0.6000000000000005,6.3,6.9,90.1,94.1,22.7,38.6,326550,414508
NLD,Netherlands,Western,1247064.0,27.299999999999997,11.900000000000002,-2.3,7.3,5.0,59.8,87.1,27.8,39.7,11486631,16615394
NOR,Norway,Western,462909.0,29.199999999999996,4.300000000000004,-1.9000000000000004,5.4,3.5,49.9,79.1,33.4,37.7,3581239,4889252
PRT,Portugal,Western,-834776.0,25.6,13.7,6.9,3.9,10.8,35.0,60.6,26.8,40.5,8857716,10573100
